,time,open,high,low,close,tick_volume,spread,real_volume
103,2024-03-04,62795.98,67911.97,62269.5,67486.15,194231,0,0
104,2024-03-05,67664.21,69318.9,59155.12,63289.43,218248,0,0
105,2024-03-06,63317.35,67656.24,62486.25,66563.23,215100,0,0
106,2024-03-07,66335.12,68073.8,65565.76,67361.3,215258,0,0
107,2024-03-08,67352.82,70198.1,66101.99,68308.8,186919,0,0
108,2024-03-09,68516.27,68700.75,68033.13,68570.91,87480,0,0
109,2024-03-10,68574.73,70025.6,68408.94,69445.06,115825,0,0
110,2024-03-11,69422.8,72860.16,67061.79,72085.76,243731,387,0
111,2024-03-12,72026.45,73079.18,68570.57,71033.73,206409,0,0
112,2024-03-13,70942.13,73705.14,70510.28,73176.19,210932,0,0
113,2024-03-14,73240.64,73843.75,68499.47,70654.57,257948,0,0
114,2024-03-15,70495.77,72414.25,65528.31,68078.92,306711,0,0
115,2024-03-21,66984.15,68219.51,65758.97,65878.97,266605,0,0
